region;parti mm;1973;2014
0512 Ydre;Sverigedemokraterna;0;367
0512 Ydre;övriga partier;2;48
0512 Ydre;ogiltiga valsedlar;2;23
0512 Ydre;ej röstande;225;281
0513 Kinda;Moderaterna;978;1285
0513 Kinda;Centerpartiet;2886;698
0513 Kinda;Folkpartiet;383;211
0513 Kinda;Kristdemokraterna;279;420
0513 Kinda;Miljöpartiet;0;331
0513 Kinda;Socialdemokraterna;2348;2119
0513 Kinda;Vänsterpartiet;115;306
0513 Kinda;Sverigedemokraterna;0;1113
0513 Kinda;övriga partier;11;199
0513 Kinda;ogiltiga valsedlar;9;59
0513 Kinda;ej röstande;641;917
0560 Boxholm;Moderaterna;281;545
0560 Boxholm;Centerpartiet;1113;305
0560 Boxholm;Folkpartiet;146;101
0560 Boxholm;Kristdemokraterna;85;164
0560 Boxholm;Miljöpartiet;0;156
0560 Boxholm;Socialdemokraterna;2118;1626
0560 Boxholm;Vänsterpartiet;259;158
0560 Boxholm;Sverigedemokraterna;0;576
0560 Boxholm;övriga partier;4;56
0560 Boxholm;ogiltiga valsedlar;6;33
0560 Boxholm;ej röstande;362;448
0561 Åtvidaberg;Moderaterna;834;1446
0561 Åtvidaberg;Centerpartiet;2110;623
0561 Åtvidaberg;Folkpartiet;478;220
0561 Åtvidaberg;Kristdemokraterna;252;300
0561 Åtvidaberg;Miljöpartiet;0;353
0561 Åtvidaberg;Socialdemokraterna;4713;3129
0561 Åtvidaberg;Vänsterpartiet;171;304
0561 Åtvidaberg;Sverigedemokraterna;0;1354
0561 Åtvidaberg;övriga partier;14;143
0561 Åtvidaberg;ogiltiga valsedlar;10;101
0561 Åtvidaberg;ej röstande;646;1107
0562 Finspång;Moderaterna;1422;2247
0562 Finspång;Centerpartiet;3152;714
0562 Finspång;Folkpartiet;936;461
0562 Finspång;Kristdemokraterna;448;635
0562 Finspång;Miljöpartiet;0;642
0562 Finspång;Socialdemokraterna;8732;6029
0562 Finspång;Vänsterpartiet;592;734
0562 Finspång;Sverigedemokraterna;0;2146
0562 Finspång;övriga partier;51;363
0562 Finspång;ogiltiga valsedlar;20;171
0562 Finspång;ej röstande;1026;2230
0563 Valdemarsvik;Moderaterna;660;1075
0563 Valdemarsvik;Centerpartiet;1847;565
0563 Valdemarsvik;Folkpartiet;317;149
0563 Valdemarsvik;Kristdemokraterna;129;190
0563 Valdemarsvik;Miljöpartiet;0;177
0563 Valdemarsvik;Socialdemokraterna;2782;1900
0563 Valdemarsvik;Vänsterpartiet;231;198
0563 Valdemarsvik;Sverigedemokraterna;0;997
0563 Valdemarsvik;övriga partier;16;127
0563 Valdemarsvik;ogiltiga valsedlar;12;55
0563 Valdemarsvik;ej röstande;464;808
0580 Linköping;Moderaterna;11260;24281
0580 Linköping;Centerpartiet;16541;6157
0580 Linköping;Folkpartiet;6023;6988
0580 Linköping;Kristdemokraterna;2020;5790
0580 Linköping;Miljöpartiet;0;8268
0580 Linköping;Socialdemokraterna;31064;29210
0580 Linköping;Vänsterpartiet;3169;4709
0580 Linköping;Sverigedemokraterna;0;11214
0580 Linköping;övriga partier;294;3755
0580 Linköping;ogiltiga valsedlar;115;1087
0580 Linköping;ej röstande;6156;13804
0581 Norrköping;Moderaterna;12003;19995
0581 Norrköping;Centerpartiet;15842;3856
0581 Norrköping;Folkpartiet;5455;3912
0581 Norrköping;Kristdemokraterna;1589;3937
0581 Norrköping;Miljöpartiet;0;5963
0581 Norrköping;Socialdemokraterna;36955;26680
0581 Norrköping;Vänsterpartiet;3350;4706
0581 Norrköping;Sverigedemokraterna;0;14045
0581 Norrköping;övriga partier;436;3164
0581 Norrköping;ogiltiga valsedlar;104;865
0581 Norrköping;ej röstande;8631;14986
0582 Söderköping;Moderaterna;988;2555
0582 Söderköping;Centerpartiet;2453;856
0582 Söderköping;Folkpartiet;388;425
0582 Söderköping;Kristdemokraterna;191;494
0582 Söderköping;Miljöpartiet;0;571
0582 Söderköping;Socialdemokraterna;2284;2651
0582 Söderköping;Vänsterpartiet;138;372
0582 Söderköping;Sverigedemokraterna;0;1624
0582 Söderköping;övriga partier;15;278
0582 Söderköping;ogiltiga valsedlar;6;83
0582 Söderköping;ej röstande;535;1308
0583 Motala;Moderaterna;3483;5285
0583 Motala;Centerpartiet;7116;1423
0583 Motala;Folkpartiet;2196;1257
0583 Motala;Kristdemokraterna;759;1069
0583 Motala;Miljöpartiet;0;1377
0583 Motala;Socialdemokraterna;16221;11268
0583 Motala;Vänsterpartiet;1237;1366
0583 Motala;Sverigedemokraterna;0;4601
0583 Motala;övriga partier;109;681
0583 Motala;ogiltiga valsedlar;44;306
0583 Motala;ej röstande;2966;4277
0584 Vadstena;Moderaterna;0;1332
0584 Vadstena;Centerpartiet;0;357
0584 Vadstena;Folkpartiet;0;198
0584 Vadstena;Kristdemokraterna;0;305
0584 Vadstena;Miljöpartiet;0;326
0584 Vadstena;Socialdemokraterna;0;1752
0584 Vadstena;Vänsterpartiet;0;198
0584 Vadstena;Sverigedemokraterna;0;657
0584 Vadstena;övriga partier;0;152
0584 Vadstena;ogiltiga valsedlar;0;60
0584 Vadstena;ej röstande;0;719
0586 Mjölby;Moderaterna;1749;3726
0586 Mjölby;Centerpartiet;4755;1135
0586 Mjölby;Folkpartiet;951;756
